"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000528896.7|ENSG00000007202.17|OTTHUMG00000166587.7|OTTHUMT00000390571.4|BLTP2-202|BLTP2|7428|protein_coding|",150.698460825056,25.7036415945234,3.02644485909317,8.49301500316288,2.01344295937839e-17,3.29399268154305e-13
"ENST00000960226.1|ENSG00000144028.16|OTTHUMG00000130455.7|-|SNRNP200-212|SNRNP200|6823|protein_coding|",87.153010954007,24.9565866301675,3.02663120813494,8.24566487092631,1.64244393551691e-16,7.58191458945956e-13
"ENST00000870502.1|ENSG00000197746.16|OTTHUMG00000018429.6|-|PSAP-207|PSAP|2786|protein_coding|",79.8120281843597,24.8420377938965,3.02667164174615,8.20770824666155,2.25450219955986e-16,7.58191458945956e-13
"ENST00000681657.1|ENSG00000168003.20|OTTHUMG00000074091.8|-|SLC3A2-240|SLC3A2|1905|protein_coding|",81.809198585679,24.8753209203889,3.02666004630853,8.21873634296263,2.05658616517582e-16,7.58191458945956e-13
"ENST00000931590.1|ENSG00000080603.18|OTTHUMG00000132393.6|-|SRCAP-209|SRCAP|10368|protein_coding|",79.6513796722905,24.8320723683192,3.02667280609652,8.20441255437353,2.31721106034828e-16,7.58191458945956e-13
"ENST00000340006.7|ENSG00000159176.15|OTTHUMG00000035773.6|OTTHUMT00000504292.2|CSRP1-201|CSRP1|1820|protein_coding|",56.3359618238928,24.3671563303292,3.02687287525449,8.05027410616988,8.26088129790262e-16,1.12623348361406e-12
"ENST00000312431.10|ENSG00000151914.22|OTTHUMG00000014913.26|-|DST-202|DST|17756|protein_coding|",53.6867722482996,24.3016894018741,3.01184994318236,8.06869195355616,7.10552886866835e-16,1.12623348361406e-12
"ENST00000687971.1|ENSG00000178209.18|OTTHUMG00000165291.5|OTTHUMT00000383860.2|PLEC-214|PLEC|13695|protein_coding|",55.5371947396946,24.3442077663256,3.0017005772067,8.11013861648374,5.0562047936562e-16,1.12623348361406e-12
"ENST00000928122.1|ENSG00000175216.16|OTTHUMG00000166599.5|-|CKAP5-219|CKAP5|6816|protein_coding|",62.603220998021,24.4716311608882,3.02680433294563,8.08497295134793,6.21779953293991e-16,1.12623348361406e-12
"ENST00000893571.1|ENSG00000087365.17|OTTHUMG00000166751.5|-|SF3B2-217|SF3B2|2448|protein_coding|",58.5529452362879,24.4198617471536,3.02684698015768,8.06775562399967,7.16021811790115e-16,1.12623348361406e-12
"ENST00000334869.9|ENSG00000100600.16|OTTHUMG00000171199.5|OTTHUMT00000412290.3|LGMN-201|LGMN|1980|protein_coding|",60.5949637420485,24.4654446803299,3.0217246170697,8.09651698309131,5.65550851368116e-16,1.12623348361406e-12
"ENST00000926229.1|ENSG00000100316.17|OTTHUMG00000151079.10|-|RPL3-231|RPL3|1167|protein_coding|",103.366682932367,-24.3921954136383,3.02670578564107,-8.05899124036331,7.69266101886347e-16,1.12623348361406e-12
"ENST00000275418.13|ENSG00000117868.19|OTTHUMG00000151436.3|OTTHUMT00000322650.3|ESYT2-202|ESYT2|5902|protein_coding|",54.0012020918876,24.3099306816487,3.02690224579056,8.03129031188764,9.64528139758107e-16,1.21382156664943e-12
"ENST00000857015.1|ENSG00000087274.20|OTTHUMG00000122080.23|-|ADD1-231|ADD1|3852|protein_coding|",45.9719454983858,23.9140794556657,2.99519209150714,7.98415551492474,1.41487556577585e-15,1.27482580052448e-12
"ENST00000913996.1|ENSG00000071894.18|OTTHUMG00000174612.6|-|CPSF1-229|CPSF1|4569|protein_coding|",43.0850309300501,23.998473906828,3.0092411025726,7.97492560044846,1.52472641448636e-15,1.27482580052448e-12
"ENST00000920790.1|ENSG00000111640.16|OTTHUMG00000137379.3|-|GAPDH-237|GAPDH|1198|protein_coding|",83.9976128589097,-24.1412887981727,3.02682539645763,-7.97577845964484,1.5142334380319e-15,1.27482580052448e-12
"ENST00000944771.1|ENSG00000123143.14|OTTHUMG00000039611.3|-|PKN1-220|PKN1|2920|protein_coding|",51.713772380423,24.2500156811261,3.02693392534227,8.01141230011622,1.13398586106814e-15,1.27482580052448e-12
"ENST00000870074.1|ENSG00000063245.16|OTTHUMG00000180911.5|-|EPN1-219|EPN1|2259|protein_coding|",47.8266944288257,24.1440222892272,3.02699436408941,7.9762362876055,1.50863001884848e-15,1.27482580052448e-12
"ENST00000908338.1|ENSG00000123562.19|OTTHUMG00000022104.3|-|MORF4L2-241|MORF4L2|1788|protein_coding|",49.6025492141453,24.1857489001466,3.02696570258645,7.99009677561941,1.34832868221369e-15,1.27482580052448e-12
"ENST00000879017.1|ENSG00000005022.7|OTTHUMG00000022715.3|-|SLC25A5-207|SLC25A5|1216|protein_coding|",47.7656902995824,24.1318800406933,3.02699553595403,7.97222187943781,1.55846674880743e-15,1.27482580052448e-12
"ENST00000931483.1|ENSG00000197746.16|OTTHUMG00000018429.6|-|PSAP-232|PSAP|2284|protein_coding|",31.7311208549736,23.5873495576104,2.96370822044279,7.95872866124668,1.73815938220266e-15,1.35410892823026e-12
"ENST00000695761.1|ENSG00000173369.19|OTTHUMG00000002896.5|-|C1QB-211|C1QB|1107|protein_coding|",26.8626870944475,23.3395509483493,2.9374134061199,7.94561327313442,1.9323238798016e-15,1.39686845383092e-12
"ENST00000875560.1|ENSG00000160691.20|OTTHUMG00000037295.6|-|SHC1-212|SHC1|3534|protein_coding|",46.6746719985513,24.0454189180228,3.02701424134769,7.94360944510035,1.96381261846645e-15,1.39686845383092e-12
"ENST00000264107.12|ENSG00000091409.18|OTTHUMG00000132277.6|-|ITGA6-201|ITGA6|5488|protein_coding|",43.0969051090018,24.0013725443965,3.02708271744161,7.9288789850717,2.21132898735433e-15,1.467676638399e-12
"ENST00000877525.1|ENSG00000120885.23|OTTHUMG00000102114.8|-|CLU-229|CLU|1660|protein_coding|",42.835109609183,23.9898345808539,3.02708825795177,7.92505290119497,2.28049226289091e-15,1.467676638399e-12
"ENST00000262376.11|ENSG00000118900.16|OTTHUMG00000129531.6|OTTHUMT00000251718.3|UBN1-201|UBN1|6443|protein_coding|",42.5392871141495,23.981401434315,3.02709447276439,7.92225074244704,2.33249343510843e-15,1.467676638399e-12
"ENST00000935140.1|ENSG00000117632.24|OTTHUMG00000007389.4|-|STMN1-231|STMN1|1082|protein_coding|",40.5365836393441,23.9059313278303,3.02713908869104,7.8972028134219,2.85232047982798e-15,1.53196168904584e-12
"ENST00000354618.10|ENSG00000054118.16|OTTHUMG00000007866.8|OTTHUMT00000021688.3|THRAP3-201|THRAP3|4405|protein_coding|",39.0053565263558,23.8660249149581,3.02292427149367,7.89501250164152,2.90286139122378e-15,1.53196168904584e-12
"ENST00000894739.1|ENSG00000129250.13|OTTHUMG00000099451.4|-|KIF1C-208|KIF1C|4224|protein_coding|",28.3104038092048,23.422505571671,2.96258252873175,7.90611074780689,2.65554948217898e-15,1.53196168904584e-12
"ENST00000947959.1|ENSG00000157637.14|OTTHUMG00000168049.4|-|SLC38A10-232|SLC38A10|4354|protein_coding|",27.4078612590784,23.3798746673375,2.95923068743152,7.90065971086227,2.77431106188055e-15,1.53196168904584e-12
"ENST00000858816.1|ENSG00000152234.17|OTTHUMG00000132637.10|-|ATP5F1A-225|ATP5F1A|1420|protein_coding|",31.759677125712,23.5835976130047,2.9833662435202,7.9050293151998,2.67870552852483e-15,1.53196168904584e-12
"ENST00000951384.1|ENSG00000113140.12|OTTHUMG00000130122.5|-|SPARC-239|SPARC|3145|protein_coding|",24.1065846434336,23.2129705169719,2.94309382105458,7.88726827222045,3.08872959035658e-15,1.5791130030698e-12
"ENST00000703142.1|ENSG00000198793.15|OTTHUMG00000002001.4|-|MTOR-214|MTOR|8491|nonsense_mediated_decay|",26.2744221768745,23.3191937815806,2.96184084107338,7.87320961281957,3.45656801667777e-15,1.61569865008138e-12
"ENST00000447906.8|ENSG00000164164.18|OTTHUMG00000161480.8|OTTHUMT00000365117.4|OTUD4-201|OTUD4|7741|protein_coding|",30.950808461641,23.5461092586592,2.98892928279984,7.87777395542884,3.33264914521463e-15,1.61569865008138e-12
"ENST00000901891.1|ENSG00000075856.13|OTTHUMG00000169449.6|-|SART3-221|SART3|3676|protein_coding|",30.1425243256662,23.5154655581796,2.9862577890679,7.87455980668015,3.41944609607385e-15,1.61569865008138e-12
"ENST00000357325.10|ENSG00000143321.19|OTTHUMG00000041295.2|OTTHUMT00000098946.2|HDGF-201|HDGF|2309|protein_coding|",63.3426466732149,-23.7485827189408,3.02703339702095,-7.8454974240829,4.31240697428473e-15,1.73844709165607e-12
"ENST00000220959.8|ENSG00000104517.14|OTTHUMG00000164755.5|OTTHUMT00000380196.1|UBR5-201|UBR5|9418|protein_coding|",31.4292325483818,23.5687846710726,3.00427429456976,7.84508415682059,4.32663240002664e-15,1.73844709165607e-12
"ENST00000910327.1|ENSG00000134453.17|OTTHUMG00000017618.4|-|RBM17-222|RBM17|1530|protein_coding|",35.7601985724095,23.7465203267589,3.02726583142748,7.84421377212237,4.35674393385691e-15,1.73844709165607e-12
"ENST00000253925.12|ENSG00000131626.20|OTTHUMG00000167266.7|OTTHUMT00000393905.1|PPFIA1-201|PPFIA1|5240|protein_coding|",30.2794080889771,23.5221002615339,2.99397137826023,7.85648801866714,3.95053635960206e-15,1.73844709165607e-12
"ENST00000530225.5|ENSG00000140988.17|OTTHUMG00000128708.6|OTTHUMT00000387769.1|RPS2-210|RPS2|765|protein_coding|",63.9280779093421,-23.7596009949706,3.02621188271985,-7.85126815826799,4.11851285785396e-15,1.73844709165607e-12
"ENST00000858000.1|ENSG00000142541.19|OTTHUMG00000134289.5|-|RPL13A-225|RPL13A|626|protein_coding|",29.3916719279156,23.4819719989099,2.9879390027869,7.85891946823811,3.87461230523218e-15,1.73844709165607e-12
"ENST00000495936.7|ENSG00000160991.18|OTTHUMG00000157722.4|OTTHUMT00000349512.3|ORAI2-207|ORAI2|10747|protein_coding|",24.9596151054091,23.2548747652333,2.96735368846688,7.83690695706998,4.61779959181934e-15,1.79874288862296e-12
"ENST00000972654.1|ENSG00000148180.23|OTTHUMG00000020584.8|-|GSN-455|GSN|2150|protein_coding|",32.4508916222634,-22.8210060416227,2.91569660378243,-7.82694811662427,4.99855246909126e-15,1.83050187350465e-12
"ENST00000380405.7|ENSG00000120694.21|OTTHUMG00000016685.6|OTTHUMT00000044385.2|HSPH1-202|HSPH1|3480|protein_coding|",30.8627250621066,23.5454886510351,3.00777875350272,7.82819834192097,4.94910744587866e-15,1.83050187350465e-12
"ENST00000221419.10|ENSG00000104824.19|OTTHUMG00000182612.3|OTTHUMT00000462670.2|HNRNPL-201|HNRNPL|2142|protein_coding|",33.6256775325765,23.6577018101665,3.02294889276273,7.82603432919611,5.03499904081353e-15,1.83050187350465e-12
"ENST00000471849.6|ENSG00000169641.16|OTTHUMG00000003227.5|OTTHUMT00000008901.4|LUZP1-203|LUZP1|8467|protein_coding|",23.98315063016,23.2041601144614,2.96819630367675,7.81759618988745,5.38415839601542e-15,1.91488763823505e-12
"ENST00000902223.1|ENSG00000141503.18|OTTHUMG00000177932.4|-|MINK1-217|MINK1|5040|protein_coding|",27.2196161394702,23.3761347239301,2.99168904395416,7.81369132302383,5.55370082948352e-15,1.93316054405001e-12
"ENST00000704588.1|ENSG00000196367.15|OTTHUMG00000150403.5|-|TRRAP-211|TRRAP|7985|nonsense_mediated_decay|",29.7851953280899,23.4997661492314,3.0115636444803,7.80317765898876,6.03674707012423e-15,1.94974282957307e-12
"ENST00000317568.10|ENSG00000126391.15|OTTHUMG00000166275.4|OTTHUMT00000388833.2|FRMD8-201|FRMD8|3685|protein_coding|",23.3968371736463,23.1659194936168,2.96855893690383,7.80375932767519,6.00897387468405e-15,1.94974282957307e-12
"ENST00000859092.1|ENSG00000100441.11|OTTHUMG00000171312.5|-|KHNYN-210|KHNYN|6316|protein_coding|",22.9537495752899,23.1418530924634,2.96602299130689,7.80231750067003,6.07804916309455e-15,1.94974282957307e-12
"ENST00000682292.1|ENSG00000099331.15|OTTHUMG00000182707.2|-|MYO9B-220|MYO9B|7606|protein_coding|",43.0920996648152,-23.213661803219,2.97234785339509,-7.80987386005434,5.72452485194594e-15,1.94974282957307e-12
"ENST00000537687.5|ENSG00000060237.20|OTTHUMG00000090321.6|-|WNK1-209|WNK1|11232|protein_coding|",27.62277733911,23.3937629747011,3.00055293816436,7.79648400038317,6.36558889645327e-15,2.00271219896107e-12
"ENST00000326932.8|ENSG00000050165.20|OTTHUMG00000165709.4|OTTHUMT00000385864.2|DKK3-201|DKK3|2636|protein_coding|",24.2212644827597,23.2154043470113,2.97923080208749,7.7924155224042,6.57401231575579e-15,2.02926116010877e-12
"ENST00000677272.1|ENSG00000104408.12|OTTHUMG00000164858.7|-|EIF3E-231|EIF3E|1275|protein_coding|",27.8649542258466,23.4054121950105,3.00617216190547,7.7857856883935,6.92813023732651e-15,2.09896686449374e-12
"ENST00000882447.1|ENSG00000143390.19|OTTHUMG00000012495.24|-|RFX5-223|RFX5|3447|protein_coding|",28.5418210338306,23.4410762950958,3.02309336359853,7.75400342488689,8.90399247489609e-15,2.17168655971361e-12
"ENST00000966247.1|ENSG00000197965.13|OTTHUMG00000034571.5|-|MPZL1-215|MPZL1|3874|protein_coding|",21.5448010998898,23.0593165886623,2.97331403358439,7.75542587436142,8.80474953853754e-15,2.17168655971361e-12
"ENST00000374907.7|ENSG00000138448.14|OTTHUMG00000132635.6|OTTHUMT00000334603.1|ITGAV-202|ITGAV|6903|protein_coding|",21.2462021330273,23.0401567224314,2.96924301810182,7.75960626394281,8.51934580260115e-15,2.17168655971361e-12
"ENST00000396137.5|ENSG00000152409.11|OTTHUMG00000131301.7|OTTHUMT00000254070.5|JMY-201|JMY|9096|protein_coding|",20.9848622841491,23.023490870414,2.96753177766399,7.75846481028683,8.59635883119806e-15,2.17168655971361e-12
"ENST00000926041.1|ENSG00000153922.13|OTTHUMG00000162744.3|-|CHD1-215|CHD1|6715|protein_coding|",26.6798246154758,23.3449633636953,3.00436704214892,7.77034331564146,7.82736816451133e-15,2.17168655971361e-12
"ENST00000927199.1|ENSG00000112984.13|OTTHUMG00000129195.4|-|KIF20A-214|KIF20A|2938|protein_coding|",27.1191136123147,23.3692648360085,3.01733236522096,7.74500850664395,9.55754476157577e-15,2.17168655971361e-12
"ENST00000230419.9|ENSG00000112655.17|OTTHUMG00000014721.5|OTTHUMT00000040580.3|PTK7-202|PTK7|4222|protein_coding|",27.9133896031939,23.410624672833,3.02048031480677,7.75062977834063,9.14379144385535e-15,2.17168655971361e-12
"ENST00000318709.9|ENSG00000105778.21|OTTHUMG00000152929.2|OTTHUMT00000328643.2|AVL9-201|AVL9|6987|protein_coding|",21.4225177152873,23.0514316398815,2.97588631014036,7.74607267802319,9.47782761187471e-15,2.17168655971361e-12
"ENST00000935248.1|ENSG00000087087.21|OTTHUMG00000157031.7|-|SRRT-231|SRRT|2845|protein_coding|",21.1502426802139,23.0341157201138,2.96755977018022,7.76197195809639,8.36188972752704e-15,2.17168655971361e-12
"ENST00000325222.9|ENSG00000055130.19|OTTHUMG00000152776.7|OTTHUMT00000467785.2|CUL1-201|CUL1|3147|protein_coding|",20.6913606100039,23.004287216941,2.969875989292,7.74587467620999,9.49261022859587e-15,2.17168655971361e-12
"ENST00000932054.1|ENSG00000160949.19|OTTHUMG00000153122.4|-|TONSL-203|TONSL|4561|protein_coding|",26.5139800552333,23.3356493863157,3.00479973446846,7.76612468332891,8.09238948891747e-15,2.17168655971361e-12
