"Gene","Module","GS","GS_pvalue","MM","MM_pvalue","kTotal","kWithin","Module_Trait_Cor","Module_Trait_Pval","Rank"
"SLC29A3","cyan",0.553826108266234,0.0967073819777667,0.981816631849947,4.6791540765679e-07,45.5106475858536,19.3363344510112,NA,NA,1
"CTSB","cyan",0.638269766441156,0.0470385889219938,0.963871170698703,7.13574399196991e-06,64.9505178959427,18.6640197413798,NA,NA,2
"CAPG","cyan",0.694147572881434,0.0259458137186508,0.958143474432655,1.27658040994993e-05,42.6141999793707,17.0189274190693,NA,NA,3
"CTSD","cyan",0.672021486071918,0.0332951769900259,0.956835667072709,1.44146223357154e-05,49.2259855848095,17.5818201418401,NA,NA,4
"PTPRJ","cyan",0.441473393035546,0.201506442483376,0.952757735716022,2.05809292445656e-05,41.5397611239065,15.3113055807628,NA,NA,5
"PLA2G15","cyan",0.57611947507304,0.081316527614407,0.943656780261342,4.11788492334861e-05,36.9813155963725,14.993149044487,NA,NA,6
"TPP1","cyan",0.687421953224881,0.0280483955179887,0.937247255710468,6.28671462333829e-05,45.6945406998287,16.0950996662741,NA,NA,7
"UNC13D","cyan",0.528236603667954,0.116516232970449,0.936420944033699,6.61771925378429e-05,50.6931037277056,14.5287800137608,NA,NA,8
"AMDHD2","cyan",0.560428049550076,0.091971130394343,0.936141125912772,6.73267669838527e-05,48.9326177730625,13.8142280505471,NA,NA,9
"ARAP1","cyan",0.47477865475768,0.165568723720539,0.934822806809775,7.29426778888954e-05,41.1293575518953,14.4948017961106,NA,NA,10
"MAPK13","cyan",0.578396655694445,0.0798398671516613,0.932915774258899,8.16699433907785e-05,39.5783317356543,12.7749616632294,NA,NA,11
"TMC6","cyan",0.670185281326003,0.033962074132395,0.932689595792355,8.27539170813645e-05,45.7689258460913,15.2652191573309,NA,NA,12
"RAP2B","cyan",0.46588220259417,0.174761068810378,0.930894507106684,9.17382819890512e-05,43.0032450850579,13.1535473965117,NA,NA,13
"RNPEPL1","cyan",0.481742723346563,0.158579545127125,0.928716176760914,0.000103585538239597,35.9546924708423,13.4624432675797,NA,NA,14
"VAC14","cyan",0.628473573870188,0.0516408125150126,0.926749882912482,0.000115216834964508,42.2900813851034,15.3645875688215,NA,NA,15
"ABCA7","cyan",0.388584430600631,0.267113532869359,0.92339143261786,0.000137275321304905,33.9682762563465,11.7304967368576,NA,NA,16
"GRN","cyan",0.66528880101795,0.0357845886840367,0.922567436978496,0.000143131683811926,45.7122752809368,14.5960503052676,NA,NA,17
"IFI30","cyan",0.759049460578175,0.010896040513495,0.921544667324576,0.000150654625387922,60.4030333513242,15.2502213929485,NA,NA,18
"PLD3","cyan",0.732766375122622,0.0159234032276799,0.921079927411032,0.000154167606766764,59.0440923831395,14.9977371733054,NA,NA,19
"CDK18","cyan",0.579910537472453,0.0788678265935543,0.914112881237588,0.000214393575999209,35.3350207684771,13.4852071549832,NA,NA,20
"DAGLB","lightyellow",0.462504770899994,0.178328488208865,0.975905732228858,1.43225524755306e-06,226.71043200107,20.4303833636115,NA,NA,1
"TRIM14","lightyellow",0.58865774361231,0.0734011930112625,0.969335581739563,3.72774051201138e-06,118.77011748695,18.7755331118955,NA,NA,2
"UAP1L1","lightyellow",0.491031849762019,0.149538281842499,0.964813930414628,6.42694456210903e-06,111.943698033348,16.903761085668,NA,NA,3
"HPSE","lightyellow",0.543427841038641,0.104476441187356,0.964762805120319,6.46397764830431e-06,174.211535010884,19.4056028718408,NA,NA,4
"KIAA0930","lightyellow",0.61932621791083,0.0561996573322232,0.958330434164034,1.25421018295515e-05,157.020321939834,17.6456057226555,NA,NA,5
"OTULINL","lightyellow",0.584748300615481,0.0758129823162708,0.95705405828932,1.41288655551146e-05,172.011038022738,18.3658305918321,NA,NA,6
"TBC1D2","lightyellow",0.41471435722627,0.233396351764328,0.954395623166027,1.79075677905029e-05,142.761254305369,18.4434286057204,NA,NA,7
"ZNF646","lightyellow",0.534836898312099,0.111183816968539,0.943382523910102,4.19723840631324e-05,194.543458214647,15.7463080653563,NA,NA,8
"RUNX3","lightyellow",0.597833461378619,0.067937961567269,0.943227626569462,4.24255406197216e-05,110.129930989515,15.0523398156697,NA,NA,9
"GAA","lightyellow",0.507732161855971,0.134087794971869,0.942469687780013,4.46953838018454e-05,71.339507018739,15.1562779965812,NA,NA,10
"PRXL2B","lightyellow",0.558575634004981,0.0932847719894914,0.939812377210246,5.33690137677405e-05,274.376935383857,17.9288469847492,NA,NA,11
"USF2","lightyellow",0.533616939026233,0.112157652206867,0.933346180207731,7.96362328788088e-05,92.0091843323023,15.2569812684298,NA,NA,12
"SLC4A2","lightyellow",0.376410004362341,0.283682681383661,0.933133603005889,8.06359429781232e-05,195.975894817504,13.9078019350198,NA,NA,13
"MAPK3","lightyellow",0.43832214707317,0.205122432249883,0.932483966310683,8.37486043448461e-05,222.065877752276,16.1628286887566,NA,NA,14
"GRK2","lightyellow",0.482570296598633,0.157761019486996,0.92743590393869,0.000111054744048863,163.788523409147,14.8614729397458,NA,NA,15
"EHMT2","lightyellow",0.481527037836894,0.158793292075886,0.927399397067493,0.000111273390917344,376.293748637445,16.8428079207898,NA,NA,16
"PPP1R37","lightyellow",0.402535362067874,0.248796713628509,0.925359630876667,0.000124003260394787,144.706797776974,15.947734913776,NA,NA,17
"VOPP1","lightyellow",0.458408993140232,0.182712071997764,0.924708412626412,0.000128284699178124,115.405841841872,15.0428437538245,NA,NA,18
"NCAPH2","lightyellow",0.43552341843183,0.20836517841053,0.921138690967987,0.00015372011021125,374.747294614861,16.4568915830341,NA,NA,19
"REEP4","lightyellow",0.365058965864943,0.299617223576002,0.921126393448676,0.000153813679017577,467.341644678926,16.7547960966843,NA,NA,20
"PCID2","magenta",-0.382668915346549,0.275096696993212,0.95737347272934,1.37185336844097e-05,173.247873286601,27.1491625690734,NA,NA,1
"CSDE1","magenta",-0.467482439733854,0.173085745774453,0.949175902016635,2.7448593402652e-05,88.6873764663615,21.6994289556193,NA,NA,2
"LRP11","magenta",-0.366058316289807,0.298195643462538,0.948792281518786,2.82734857579572e-05,226.102278386497,29.9825331018722,NA,NA,3
"ATP5PB","magenta",-0.466554363524487,0.174056199976046,0.947246647128372,3.17846030131502e-05,230.817419925594,26.5836328956103,NA,NA,4
"KCTD3","magenta",-0.500813967596558,0.140363332617803,0.944405625785719,3.9068736375475e-05,245.671358837709,25.7464612817656,NA,NA,5
"PTPN11","magenta",-0.530435690619105,0.114722192370199,0.943001525028023,4.30935020447954e-05,94.4089674364551,20.0009952530145,NA,NA,6
"CMPK1","magenta",-0.446279960140902,0.196062836965326,0.938774545314096,5.70736099343803e-05,290.387289517207,27.9410557334643,NA,NA,7
"MRPL33","magenta",-0.640660195703858,0.045958711129856,0.938264020876154,5.89642050196326e-05,60.7379418907293,20.3608722417547,NA,NA,8
"CFL2","magenta",-0.448436790289817,0.193648360249496,0.936759910340711,6.48041461212513e-05,85.7012823745763,21.0934563454614,NA,NA,9
"TRMT5","magenta",-0.413695619155556,0.234663375283525,0.934539898582147,7.41916000057932e-05,152.462979481999,25.3438994670089,NA,NA,10
"COMMD3","magenta",-0.485829913097179,0.154561858975961,0.932540343767586,8.34750163761316e-05,69.9141813326444,19.3283962013008,NA,NA,11
"ATXN10","magenta",-0.376888123491481,0.283021757036019,0.927325515873016,0.000111716852191957,147.715571087786,18.2503731488973,NA,NA,12
"SYNCRIP","magenta",-0.607025391456023,0.0627385689077897,0.926212303213302,0.000118557919376568,111.061939683207,20.9846238489281,NA,NA,13
"PUS7","magenta",-0.702194058578352,0.023575419558799,0.925253903761956,0.000124691085802639,51.9127943876822,17.1422262979398,NA,NA,14
"GNPDA2","magenta",-0.654463119777952,0.0400463505498966,0.924849444091252,0.000127348376523012,51.2723373905569,16.280724935051,NA,NA,15
"PPP2CB","magenta",-0.435739537554367,0.208113724426079,0.921172419277533,0.000153463695141061,108.920874843811,22.1146964459586,NA,NA,16
"CBX5","magenta",-0.392436338629466,0.261984386659476,0.917949657178535,0.000179425453664022,194.926036015086,26.8122365342481,NA,NA,17
"WASF1","magenta",-0.377507597533079,0.282166669722085,0.91730187416902,0.000185010788546887,203.973136360933,21.0067846296532,NA,NA,18
"COPS2","magenta",-0.488164840776217,0.152294548217957,0.909587615956243,0.000261802935272822,130.999033281983,19.7637554422732,NA,NA,19
"XPO7","magenta",-0.324994867223786,0.359523984923213,0.909443910167828,0.000263424413372581,353.371460434038,27.0937028678154,NA,NA,20
